Squad,Comp
Strasbourg,fr Ligue 1
Crystal Palace,eng Premier League
Mainz 05,de Bundesliga
Reims,fr Ligue 1
Getafe,es La Liga
Nantes,fr Ligue 1
Lorient,fr Ligue 1
Saint-Étienne,fr Ligue 1
Rennes,fr Ligue 1
Eint Frankfurt,de Bundesliga
Chelsea,eng Premier League
Freiburg,de Bundesliga
Spezia,it Serie A
Lazio,it Serie A
Sevilla,es La Liga
Southampton,eng Premier League
RB Leipzig,de Bundesliga
Hoffenheim,de Bundesliga
Fulham,eng Premier League
Cádiz,es La Liga
Bordeaux,fr Ligue 1
Parma,it Serie A
Liverpool,eng Premier League
Alavés,es La Liga
Werder Bremen,de Bundesliga
Manchester City,eng Premier League
Monaco,fr Ligue 1
Stuttgart,de Bundesliga
Nîmes,fr Ligue 1
Marseille,fr Ligue 1
Celta Vigo,es La Liga
Wolves,eng Premier League
Angers,fr Ligue 1
West Brom,eng Premier League
Dortmund,de Bundesliga
Betis,es La Liga
Bayern Munich,de Bundesliga
Elche,es La Liga
Leverkusen,de Bundesliga
Barcelona,es La Liga
Villarreal,es La Liga
Leicester City,eng Premier League
Valladolid,es La Liga
Hertha BSC,de Bundesliga
Tottenham,eng Premier League
Arsenal,eng Premier League
Leeds United,eng Premier League
Dijon,fr Ligue 1
Everton,eng Premier League
Newcastle Utd,eng Premier League
Eibar,es La Liga
Athletic Club,es La Liga
Brighton,eng Premier League
Metz,fr Ligue 1
Bologna,it Serie A
Sheffield Utd,eng Premier League
Fiorentina,it Serie A
Lyon,fr Ligue 1
West Ham,eng Premier League
Köln,de Bundesliga
Udinese,it Serie A
Lille,fr Ligue 1
Union Berlin,de Bundesliga
Granada,es La Liga
Atalanta,it Serie A
Hellas Verona,it Serie A
Torino,it Serie A
Real Sociedad,es La Liga
Wolfsburg,de Bundesliga
Real Madrid,es La Liga
Cagliari,it Serie A
Sampdoria,it Serie A
Nice,fr Ligue 1
Osasuna,es La Liga
Schalke 04,de Bundesliga
Sassuolo,it Serie A
Brest,fr Ligue 1
Lens,fr Ligue 1
Genoa,it Serie A
Manchester Utd,eng Premier League
Napoli,it Serie A
Paris S-G,fr Ligue 1
Benevento,it Serie A
Levante,es La Liga
Burnley,eng Premier League
Inter,it Serie A
Aston Villa,eng Premier League
Arminia,de Bundesliga
Augsburg,de Bundesliga
Crotone,it Serie A
Montpellier,fr Ligue 1
M'Gladbach,de Bundesliga
Milan,it Serie A
Juventus,it Serie A
Valencia,es La Liga
Roma,it Serie A
Huesca,es La Liga
Atlético Madrid,es La Liga
